firm,date,sentence,aspect,score,method,speaker,sector
HDFC Bank,2026-01-23,"The second thing is that credit costs also, you have to look at it, including the recoveries because when you write off certain loans as it progresses through some of the delinquency buckets, then you get it in the form of recoveries.",loan_growth,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"The second thing is that credit costs also, you have to look at it, including the recoveries because when you write off certain loans as it progresses through some of the delinquency buckets, then you get it in the form of recoveries.",recoveries,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"And net of recoveries, if you see, we are at about 37 basis points or thereabouts.",recoveries,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"It is also about the net of the recoveries, which comes in quite handy.",recoveries,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"So net of your recoveries, etcetera, it should keep coming down because your slippage performance is I mean, it's improving.",slippages,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"So net of your recoveries, etcetera, it should keep coming down because your slippage performance is I mean, it's improving.",recoveries,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"See, in a growing book, if the slippage is steady, the losses are steady, recoveries are steady.",slippages,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"See, in a growing book, if the slippage is steady, the losses are steady, recoveries are steady.",recoveries,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"Srini has mentioned in the past, and that is something that we are extremely proud of, the spends in the cards actually provide a significant portion of our deposit momentum.",deposit_growth,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"So the credit card focus today is more not from a net receivable basis, but from a transactor basis.",loan_growth,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"And so the profile of the customers, and that is why you see the deposit balances of those customers, which is a little more than 5, 5.5x was slightly under 4x at that time.",deposit_growth,1.0,keyword,management,banking
HDFC Bank,2026-01-23,And we have not liberally offered the credit line increases and made more and more revolvers to tip them off into delinquency.,loan_growth,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"Sir, one question is on your loan growth broad guidance of above system next year.",guidance,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"Sir, one question is on your loan growth broad guidance of above system next year.",loan_growth,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"So our understanding as of now is next year, we expect system growth to be between 12% to 13%, when you look at nominal GDP and the credit growth that's required to support nominal GDP.",guidance,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"So our understanding as of now is next year, we expect system growth to be between 12% to 13%, when you look at nominal GDP and the credit growth that's required to support nominal GDP.",loan_growth,2.0,keyword,management,banking
HDFC Bank,2026-01-23,Do you see this competitive intensity eroding profitability for the larger,margin,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"I do want to let you know that our auto loans are almost a little more than 80% self-funded, which means the customers when they take auto loan, we want their liability accounts, we want them to have balances in that and the loan self-funds itself for the most part within the balance sheet.",loan_growth,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"So it is about relationship offering, and that is part of the engagement in the branch, and it's not just a product and a loan balance sheet building approach.",loan_growth,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"I think we do continue to be the largest financiers in the auto loan space in the country, not only in terms of the disbursals but also the book size as well as if you see our year-on-year growth in the entire automobile space, I think that is reflective of what our position is and the target market that we will have.",guidance,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"I think we do continue to be the largest financiers in the auto loan space in the country, not only in terms of the disbursals but also the book size as well as if you see our year-on-year growth in the entire automobile space, I think that is reflective of what our position is and the target market that we will have.",loan_growth,1.0,keyword,management,banking
HDFC Bank,2026-01-23,"We've seen it not only in auto, but also in the home loan product.",loan_growth,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"Global outlook remains very volatile, thanks to the uncertainty related to tariffs and immigration policies.",guidance,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"The headline inflation has been printing very low, thanks to the low food inflation.",cost,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"Coming to the bank, the improvements in the economic activity has given us the opportunity to accelerate loan growth.",loan_growth,1.0,hybrid,management,banking
HDFC Bank,2025-10-27,"As expected, due to the front loading of the interest rate cuts on the asset side of the balance sheet, we did see NIM compress by about 8 basis points.",margin,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"As expected, due to the front loading of the interest rate cuts on the asset side of the balance sheet, we did see NIM compress by about 8 basis points.",nim,1.0,keyword,management,banking
HDFC Bank,2025-10-27,We should see over the next 6 to 12 months the deposit repricing having some amount of tailwind effect in the NIMs.,deposit_growth,1.0,keyword,management,banking
HDFC Bank,2025-10-27,We are managing our expenses in a very tight band and we should see our investments in distribution and technology creating an operating leverage over the medium to long-term.,margin,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"Large part of our metrices, whether it is NIMs, whether it is Cost to Earnings, whether it is Return on Assets have been very range-bound, and we should see a fair amount of stability with a positive bias in the medium to long term.",cost,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"My first question is on the recoveries in the NPL movement, they look very strong.",recoveries,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"So, is it that the recovery environment has improved substantially or is there a one-off",recoveries,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"The recoveries, I have a one-off there, where there was an NPA, which performed satisfactorily over two years and appropriate ratings were received and upgraded and to that extent, yes, it did improve there.",slippages,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"The recoveries, I have a one-off there, where there was an NPA, which performed satisfactorily over two years and appropriate ratings were received and upgraded and to that extent, yes, it did improve there.",recoveries,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"That also releases some provisions, as you know, but at an aggregate level, the contingent provisions have been added by about Rs.1,600 crores or so.",credit_cost,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"So slightly half or little more than half is what you are seeing flowing through in the cost of funds, which is where the savings deposit change has flown through, but the time deposit rate change, which is between 70 and 80 basis points or so has changed, that takes almost six quarters to flow in.",cost,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"So slightly half or little more than half is what you are seeing flowing through in the cost of funds, which is where the savings deposit change has flown through, but the time deposit rate change, which is between 70 and 80 basis points or so has changed, that takes almost six quarters to flow in.",nim,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"So slightly half or little more than half is what you are seeing flowing through in the cost of funds, which is where the savings deposit change has flown through, but the time deposit rate change, which is between 70 and 80 basis points or so has changed, that takes almost six quarters to flow in.",deposit_growth,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"In this quarter, you saw that the cost of funds improved by about 18 basis points on the page, you see about 20 basis points, I think, 19 basis points, you see a 20 basis points rounded number there that cost of funds has come down by.",cost,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"In this quarter, you saw that the cost of funds improved by about 18 basis points on the page, you see about 20 basis points, I think, 19 basis points, you see a 20 basis points rounded number there that cost of funds has come down by.",nim,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"Which means over the next few quarters, with the rate remaining constant, at a stable assumption level, the cost of funds starts to move down, and if the asset stabilizes at that level, you see that pickup coming.",cost,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"Which means over the next few quarters, with the rate remaining constant, at a stable assumption level, the cost of funds starts to move down, and if the asset stabilizes at that level, you see that pickup coming.",nim,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"And while the deposit growth was good, the incremental LDR did rise.",deposit_growth,2.0,keyword,management,banking
HDFC Bank,2025-10-27,"In this quarter, we did see credit demand that was good.",demand,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"In this quarter, we did see credit demand that was good.",loan_growth,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"We participated with our clients where it made sense from our engagement and profitability and total relationships and we will continue to do that, and our strategic objective of getting to grow in line with the system this year and higher than the system in the following year continues to be there.",margin,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"Even in this quarter if you look at it, our capital generated is 60 basis points and the consumption is 60 basis points, right, and 19.9% to 20% - the capital ratio change 0.1 is the rounding, other than that, it is about 10 basis points change in capital.",capital_adequacy,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"LDR seems to have benefited this quarter, but when I look at cost of funds, it seems like it is not falling as fast as some of the other larger players.",cost,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"LDR seems to have benefited this quarter, but when I look at cost of funds, it seems like it is not falling as fast as some of the other larger players.",nim,1.0,keyword,management,banking
HDFC Bank,2025-10-27,Is that just the timing difference in the way you built up your TD book versus the other guys given the,deposit_growth,1.0,keyword,management,banking
HDFC Bank,2025-10-27,Our cost of funds moved down by about 18 - 19 basis points or so in this quarter.,cost,1.0,keyword,management,banking
HDFC Bank,2025-10-27,Our cost of funds moved down by about 18 - 19 basis points or so in this quarter.,nim,1.0,keyword,management,banking
HDFC Bank,2025-10-27,Deposit cost of funds came down by a similar amount.,cost,1.0,keyword,management,banking
HDFC Bank,2025-10-27,Deposit cost of funds came down by a similar amount.,nim,1.0,keyword,management,banking
HDFC Bank,2025-10-27,Deposit cost of funds came down by a similar amount.,deposit_growth,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"Yes, our savings account rate change is fully factored in.",deposit_growth,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"The time deposit rate change to factor in fully, the magnitude of the changes in the rates that we and many players have done are of similar order, except that it takes us almost six quarters to play it through into the cost of funds.",cost,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"The time deposit rate change to factor in fully, the magnitude of the changes in the rates that we and many players have done are of similar order, except that it takes us almost six quarters to play it through into the cost of funds.",nim,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"The time deposit rate change to factor in fully, the magnitude of the changes in the rates that we and many players have done are of similar order, except that it takes us almost six quarters to play it through into the cost of funds.",deposit_growth,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"So, that is the reason why the tailwinds will be slightly longer in terms of visibility of drawing back this kind of repricing advantage.",guidance,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"So, the first question is particularly with respect to deposit market share.",deposit_growth,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"But the lower deposit growth this quarter, in particular, maybe just 1.2x the industry average.",deposit_growth,2.0,keyword,management,banking
HDFC Bank,2025-10-27,"And this increase in contingency provisions, so you indicated that on the recoveries, there was some provisioning release, and that was the reason for contingency, or is there anything to do with maybe the ECL buildup, you already carry a very decent level of contingency provisioning and we are adding over and above that.",credit_cost,2.0,keyword,management,banking
HDFC Bank,2025-10-27,"And this increase in contingency provisions, so you indicated that on the recoveries, there was some provisioning release, and that was the reason for contingency, or is there anything to do with maybe the ECL buildup, you already carry a very decent level of contingency provisioning and we are adding over and above that.",recoveries,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"Maybe is it a particular recovery effect,",recoveries,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"Contingent provision as the name suggests, it is precautionary and not anticipatory and where there is available an opportune space, we do.",credit_cost,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"ECL provisions to the side, whenever that comes to life and those draft guidelines are finalized, we can do the fine-tuning of what it entails.",credit_cost,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"But we do feel comfortable with ECL, both from an implementation or from a requirement of provisioning and so on.",credit_cost,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"And lastly, on fee income side, the sequential uptick is more volume related or is there any element of one-off or some particular pickup in these segments, in any of the sub segments which we",revenue,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"And lastly, on fee income side, the sequential uptick is more volume related or is there any element of one-off or some particular pickup in these segments, in any of the sub segments which we",demand,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"And lastly, on fee income side, the sequential uptick is more volume related or is there any element of one-off or some particular pickup in these segments, in any of the sub segments which we",fee_income,2.0,keyword,management,banking
HDFC Bank,2025-10-27,"The fee element, if you look at it, the fee has grown by about 9% or thereabouts.",fee_income,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"In addition to that, obviously, when we realized that the economic outlook was changing post the merger, we took a strategic call that we would like to relook at our glide path and we said we want to bring down the credit deposit ratio much faster than what we had envisaged at the time of announcing the merger.",guidance,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"In addition to that, obviously, when we realized that the economic outlook was changing post the merger, we took a strategic call that we would like to relook at our glide path and we said we want to bring down the credit deposit ratio much faster than what we had envisaged at the time of announcing the merger.",loan_growth,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"In addition to that, obviously, when we realized that the economic outlook was changing post the merger, we took a strategic call that we would like to relook at our glide path and we said we want to bring down the credit deposit ratio much faster than what we had envisaged at the time of announcing the merger.",deposit_growth,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"So, that meant that you needed to step up the pace of deposit growth much more than what one would have done, even though the liquidity environment is extremely tight.",deposit_growth,2.0,keyword,management,banking
HDFC Bank,2025-10-27,"So, that said, so we were not too focused on managing the cost to earnings during this period.",cost,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"As we see, one of the most important things is on the home loan space.",loan_growth,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"Three is, we will have journeys, which will ensure that we have a one-click experience in offering a bouquet of products when we sell a home loan.",loan_growth,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"So, in terms of the upsell, whether it is in Classification - Public Classification - Public terms of having a savings account attached to every home loan disbursal.",loan_growth,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"So, in terms of the upsell, whether it is in Classification - Public Classification - Public terms of having a savings account attached to every home loan disbursal.",deposit_growth,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"Empirical data has shown that whenever a customer has a home loan and he brings with it the check-in account, there is a change in the value of the relationship that comes.",loan_growth,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"And in addition to that, the upsell that we have been able to do across a whole range of products, which is the credit cards that go along with it, when a person buys a home loan, the consumer durable loans that go along with it, as well as being able to offer them our brokerage services and insurance.",loan_growth,2.0,keyword,management,banking
HDFC Bank,2025-10-27,"So, when you look at the whole gamut of the upsell along with the checking account and an emotional product like a home loan, which is a good duration product, its already started playing out what we had envisaged as the road map, and I would say that we are on track.",loan_growth,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"I will add to Kaizad, so that this number we can keep talking and tracking - credit cards for when a new mortgage is given, the credit card penetration, we have been successful, as Kaizad alluded to, is now a little more than 14%, we are able to get that penetrated.",loan_growth,1.0,keyword,management,banking
HDFC Bank,2025-10-27,And the end result in terms of the balance buildup in such accounts are far higher than the normal savings account where we don’t place in a home loan.,loan_growth,1.0,keyword,management,banking
HDFC Bank,2025-10-27,And the end result in terms of the balance buildup in such accounts are far higher than the normal savings account where we don’t place in a home loan.,deposit_growth,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"And more than that, even the operating leverage on the kind of investments that we have done both in distribution and technology will also start to play.",margin,1.0,keyword,management,banking
HDFC Bank,2025-10-27,The space on the ROA comes from cost of funds.,cost,1.0,keyword,management,banking
HDFC Bank,2025-10-27,The space on the ROA comes from cost of funds.,nim,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"The merger benefits come a lot on the P&L through the cost of funds because you replace the borrowings, you change the mix of the deposits from time deposits to CASA, as we have so far last two years had predominant growth in time deposits.",cost,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"The merger benefits come a lot on the P&L through the cost of funds because you replace the borrowings, you change the mix of the deposits from time deposits to CASA, as we have so far last two years had predominant growth in time deposits.",nim,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"The merger benefits come a lot on the P&L through the cost of funds because you replace the borrowings, you change the mix of the deposits from time deposits to CASA, as we have so far last two years had predominant growth in time deposits.",deposit_growth,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"And yes, these are the drivers, and it is about the cost of funds which changes that trajectory.",cost,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"And yes, these are the drivers, and it is about the cost of funds which changes that trajectory.",nim,1.0,keyword,management,banking
HDFC Bank,2025-10-27,First one is on cost of fund improvement in this quarter for us has been marginally lower than peers.,cost,1.0,keyword,management,banking
HDFC Bank,2025-10-27,Or is it due to higher TD mobilization for HDFC in,deposit_growth,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"So, I was asking on the cost of fund trajectory in this quarter for us relative to the peers.",cost,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"The second one, just Srini, if you could quantify the additional provisions that we made in the quarter through the P&L against that one-time recovery upgrade that you mentioned.",credit_cost,1.0,keyword,management,banking
HDFC Bank,2025-10-27,"The second one, just Srini, if you could quantify the additional provisions that we made in the quarter through the P&L against that one-time recovery upgrade that you mentioned.",recoveries,2.0,keyword,management,banking
HDFC Bank,2025-10-27,"Rikin, the first thing is in terms of the cost of funds, every balance sheet has got a structure, a duration and the mix of time deposit, CASA and so on.",cost,1.0,keyword,management,banking
